ds,item id,ingredient,y
2016-09-28,851234006364-AL,Colombia,4.3
2016-09-30,851234006194-AL,Colombia,1.94
2016-09-30,851234006364-AL,Colombia,2.15
2016-09-30,0851234006159-AL,Colombia,2.13
2016-09-30,851234006364-AL,Colombia,2.15
2016-10-03,851234006364-AL,Colombia,2.15
2016-10-04,851234006364-AL,Colombia,4.3
2016-10-05,851234006364-AL,Colombia,8.6
2016-10-06,0851234006159-AL,Colombia,313.10999999999996
2016-10-06,0851234006408-AL,Colombia,402.6
2016-10-06,851234006364-AL,Colombia,8.6
2016-10-06,851234006364-AL,Colombia,2.15
2016-10-07,851234006364-AL,Colombia,2.15
2016-10-07,0851234006500-AL,Colombia,0.59
2016-10-07,0851234006500-AL,Costa Rica,0.59
2016-10-07,0851234006500-AL,Sumatra,0.59
2016-10-07,0851234006500-AL,Ethiopia,0.59
2016-10-11,851234006364-AL,Colombia,2.15
2016-10-12,851234006194-AL,Colombia,3.88
2016-10-13,851234006364-AL,Colombia,4.3
2016-10-14,0851234006408-AL,Colombia,7.32
2016-10-14,0851234006500-AL,Colombia,0.59
2016-10-14,0851234006500-AL,Costa Rica,0.59
2016-10-14,0851234006500-AL,Sumatra,0.59
2016-10-14,0851234006500-AL,Ethiopia,0.59
2016-10-14,851234006364-AL,Colombia,2.15
2016-10-17,851234006364-AL,Colombia,2.15
2016-10-18,0851234006408-AL,Colombia,300.12
2016-10-18,0851234006187-AL,Costa Rica,313.10999999999996
2016-10-18,0851234006163-AL,Ethiopia,313.10999999999996
2016-10-19,0851234006408-AL,Colombia,190.32
2016-10-19,851234006364-AL,Colombia,12.899999999999999
2016-10-19,0851234006500-AL,Colombia,8.85
2016-10-19,0851234006500-AL,Costa Rica,8.85
2016-10-19,0851234006500-AL,Sumatra,8.85
2016-10-19,0851234006500-AL,Ethiopia,8.85
2016-10-20,0851234006187-AL,Costa Rica,2.13
2016-10-20,0851234006408-AL,Colombia,7.32
2016-10-20,0851234006200-AL,DCF Colombia,2.13
2016-10-20,851234006364-AL,Colombia,4.3
2016-10-20,0851234006500-AL,Colombia,4.13
2016-10-20,0851234006500-AL,Costa Rica,4.13
2016-10-20,0851234006500-AL,Sumatra,4.13
2016-10-20,0851234006500-AL,Ethiopia,4.13
2016-10-24,0851234006500-AL,Colombia,2.9499999999999997
2016-10-24,0851234006500-AL,Costa Rica,2.9499999999999997
2016-10-24,0851234006500-AL,Sumatra,2.9499999999999997
2016-10-24,0851234006500-AL,Ethiopia,2.9499999999999997
2016-10-24,851234006364-AL,Colombia,4.3
2016-10-25,0851234006500-AL,Colombia,0.59
2016-10-25,0851234006500-AL,Costa Rica,0.59
2016-10-25,0851234006500-AL,Sumatra,0.59
2016-10-25,0851234006500-AL,Ethiopia,0.59
2016-10-25,851234006364-AL,Colombia,2.15
2016-10-25,0851234006408-AL,Colombia,14.64
2016-10-25,851234006364-AL,Colombia,4.3
2016-10-25,0851234006500-AL,Colombia,1.18
2016-10-25,0851234006500-AL,Costa Rica,1.18
2016-10-25,0851234006500-AL,Sumatra,1.18
2016-10-25,0851234006500-AL,Ethiopia,1.18
2016-10-25,851234006364-AL,Colombia,2.15
2016-10-26,0851234006170-AL,Sumatra,2.13
2016-10-26,851234006194-AL,Colombia,1.94
2016-10-26,0851234006408-AL,Colombia,80.52000000000001
2016-10-26,0851234006170-AL,Sumatra,313.10999999999996
2016-10-26,0851234006500-AL,Colombia,-7.08
2016-10-26,0851234006500-AL,Costa Rica,-7.08
2016-10-26,0851234006500-AL,Sumatra,-7.08
2016-10-26,0851234006500-AL,Ethiopia,-7.08
2016-10-28,0851234006500-AL,Colombia,1.18
2016-10-28,0851234006500-AL,Costa Rica,1.18
2016-10-28,0851234006500-AL,Sumatra,1.18
2016-10-28,0851234006500-AL,Ethiopia,1.18
2016-11-01,851234006364-AL,Colombia,4.3
2016-11-02,851234006364-AL,Colombia,4.3
2016-11-02,0851234006187-AL,Costa Rica,313.10999999999996
2016-11-03,0851234006163-AL,Ethiopia,2.13
2016-11-03,851234006364-AL,Colombia,15.049999999999999
2016-11-03,0851234006500-AL,Colombia,1.77
2016-11-03,0851234006500-AL,Costa Rica,1.77
2016-11-03,0851234006500-AL,Sumatra,1.77
2016-11-03,0851234006500-AL,Ethiopia,1.77
2016-11-03,0851234006500-AL,Colombia,11.209999999999999
2016-11-03,0851234006500-AL,Costa Rica,11.209999999999999
2016-11-03,0851234006500-AL,Sumatra,11.209999999999999
2016-11-03,0851234006500-AL,Ethiopia,11.209999999999999
2016-11-04,851234006364-AL,Colombia,6.449999999999999
2016-11-07,851234006364-AL,Colombia,2.15
2016-11-07,0851234006500-AL,Colombia,0.59
2016-11-07,0851234006500-AL,Costa Rica,0.59
2016-11-07,0851234006500-AL,Sumatra,0.59
2016-11-07,0851234006500-AL,Ethiopia,0.59
2016-11-08,0851234006200-AL,DCF Colombia,313.10999999999996
2016-11-08,0851234006408-AL,Colombia,922.32
2016-11-08,851234006364-AL,Colombia,2.15
2016-11-08,0851234006500-AL,Colombia,1.77
2016-11-08,0851234006500-AL,Costa Rica,1.77
2016-11-08,0851234006500-AL,Sumatra,1.77
2016-11-08,0851234006500-AL,Ethiopia,1.77
2016-11-08,0851234006500-AL,Colombia,1.18
2016-11-08,0851234006500-AL,Costa Rica,1.18
2016-11-08,0851234006500-AL,Sumatra,1.18
2016-11-08,0851234006500-AL,Ethiopia,1.18
2016-11-09,0851234006500-AL,Colombia,1.18
2016-11-09,0851234006500-AL,Costa Rica,1.18
2016-11-09,0851234006500-AL,Sumatra,1.18
2016-11-09,0851234006500-AL,Ethiopia,1.18
2016-11-10,851234006364-AL,Colombia,6.449999999999999
2016-11-14,0851234006500-AL,Colombia,0.59
2016-11-14,0851234006500-AL,Costa Rica,0.59
2016-11-14,0851234006500-AL,Sumatra,0.59
2016-11-14,0851234006500-AL,Ethiopia,0.59
2016-11-15,0851234006500-AL,Colombia,4.13
2016-11-15,0851234006500-AL,Costa Rica,4.13
2016-11-15,0851234006500-AL,Sumatra,4.13
2016-11-15,0851234006500-AL,Ethiopia,4.13
2016-11-15,851234006364-AL,Colombia,2.15
2016-11-16,851234006364-AL,Colombia,6.449999999999999
2016-11-16,0851234006187-AL,Costa Rica,2.13
2016-11-16,0851234006159-AL,Colombia,313.10999999999996
2016-11-16,0851234006187-AL,Costa Rica,313.10999999999996
2016-11-16,0851234006163-AL,Ethiopia,313.10999999999996
2016-11-16,0851234006500-AL,Colombia,3.54
2016-11-16,0851234006500-AL,Costa Rica,3.54
2016-11-16,0851234006500-AL,Sumatra,3.54
2016-11-16,0851234006500-AL,Ethiopia,3.54
2016-11-16,851234006364-AL,Colombia,2.15
2016-11-16,851234006364-AL,Colombia,4.3
2016-11-16,0851234006500-AL,Colombia,5.8999999999999995
2016-11-16,0851234006500-AL,Costa Rica,5.8999999999999995
2016-11-16,0851234006500-AL,Sumatra,5.8999999999999995
2016-11-16,0851234006500-AL,Ethiopia,5.8999999999999995
2016-11-16,851234006364-AL,Colombia,4.3
2016-11-16,0851234006500-AL,Colombia,8.26
2016-11-16,0851234006500-AL,Costa Rica,8.26
2016-11-16,0851234006500-AL,Sumatra,8.26
2016-11-16,0851234006500-AL,Ethiopia,8.26
2016-11-17,0851234006500-AL,Colombia,1.18
2016-11-17,0851234006500-AL,Costa Rica,1.18
2016-11-17,0851234006500-AL,Sumatra,1.18
2016-11-17,0851234006500-AL,Ethiopia,1.18
2016-11-17,851234006364-AL,Colombia,4.3
2016-11-18,0851234006187-AL,Costa Rica,2.13
2016-11-18,0851234006200-AL,DCF Colombia,2.13
2016-11-21,0851234006500-AL,Colombia,1.18
2016-11-21,0851234006500-AL,Costa Rica,1.18
2016-11-21,0851234006500-AL,Sumatra,1.18
2016-11-21,0851234006500-AL,Ethiopia,1.18
2016-11-22,851234006364-AL,Colombia,2.15
2016-11-22,0851234006500-AL,Colombia,1.18
2016-11-22,0851234006500-AL,Costa Rica,1.18
2016-11-22,0851234006500-AL,Sumatra,1.18
2016-11-22,0851234006500-AL,Ethiopia,1.18
2016-11-23,0851234006500-AL,Colombia,0.59
2016-11-23,0851234006500-AL,Costa Rica,0.59
2016-11-23,0851234006500-AL,Sumatra,0.59
2016-11-23,0851234006500-AL,Ethiopia,0.59
2016-11-23,0851234006170-AL,Sumatra,313.10999999999996
2016-11-23,0851234006408-AL,Colombia,175.68
2016-11-23,0851234006408-AL,Colombia,43.92
2016-11-28,0851234006500-AL,Colombia,0.59
2016-11-28,0851234006500-AL,Costa Rica,0.59
2016-11-28,0851234006500-AL,Sumatra,0.59
2016-11-28,0851234006500-AL,Ethiopia,0.59
2016-11-29,0851234006408-AL,Colombia,592.9200000000001
2016-11-29,0851234006187-AL,Costa Rica,313.10999999999996
2016-11-29,0851234006500-AL,Colombia,2.9499999999999997
2016-11-29,0851234006500-AL,Costa Rica,2.9499999999999997
2016-11-29,0851234006500-AL,Sumatra,2.9499999999999997
2016-11-29,0851234006500-AL,Ethiopia,2.9499999999999997
2016-11-29,851234006364-AL,Colombia,10.75
2016-11-29,851234006364-AL,Colombia,10.75
2016-11-29,0851234006500-AL,Colombia,3.54
2016-11-29,0851234006500-AL,Costa Rica,3.54
2016-11-29,0851234006500-AL,Sumatra,3.54
2016-11-29,0851234006500-AL,Ethiopia,3.54
2016-11-30,0851234006500-AL,Colombia,0.59
2016-11-30,0851234006500-AL,Costa Rica,0.59
2016-11-30,0851234006500-AL,Sumatra,0.59
2016-11-30,0851234006500-AL,Ethiopia,0.59
2016-11-30,851234006364-AL,Colombia,2.15
2016-11-30,0851234006500-AL,Colombia,0.59
2016-11-30,0851234006500-AL,Costa Rica,0.59
2016-11-30,0851234006500-AL,Sumatra,0.59
2016-11-30,0851234006500-AL,Ethiopia,0.59
2016-11-30,851234006364-AL,Colombia,2.15
2016-12-01,0851234006500-AL,Colombia,1.18
2016-12-01,0851234006500-AL,Costa Rica,1.18
2016-12-01,0851234006500-AL,Sumatra,1.18
2016-12-01,0851234006500-AL,Ethiopia,1.18
2016-12-02,0851234006170-AL,Sumatra,2.13
2016-12-02,851234006364-AL,Colombia,4.3
2016-12-02,0851234006500-AL,Colombia,1.77
2016-12-02,0851234006500-AL,Costa Rica,1.77
2016-12-02,0851234006500-AL,Sumatra,1.77
2016-12-02,0851234006500-AL,Ethiopia,1.77
2016-12-06,0851234006408-AL,Colombia,658.8000000000001
2016-12-07,851234006364-AL,Colombia,6.449999999999999
2016-12-07,0851234006159-AL,Colombia,2.13
2016-12-07,0851234006500-AL,Colombia,2.9499999999999997
2016-12-07,0851234006500-AL,Costa Rica,2.9499999999999997
2016-12-07,0851234006500-AL,Sumatra,2.9499999999999997
2016-12-07,0851234006500-AL,Ethiopia,2.9499999999999997
2016-12-07,851234006364-AL,Colombia,6.449999999999999
2016-12-07,0851234006500-AL,Colombia,0.59
2016-12-07,0851234006500-AL,Costa Rica,0.59
2016-12-07,0851234006500-AL,Sumatra,0.59
2016-12-07,0851234006500-AL,Ethiopia,0.59
2016-12-07,851234006364-AL,Colombia,2.15
2016-12-08,0851234006187-AL,Costa Rica,8.52
2016-12-08,0851234006170-AL,Sumatra,8.52
2016-12-08,851234006364-AL,Colombia,12.899999999999999
2016-12-08,0851234006163-AL,Ethiopia,10.649999999999999
2016-12-08,0851234006159-AL,Colombia,6.39
2016-12-08,0851234006170-AL,Sumatra,4.26
2016-12-08,0851234006187-AL,Costa Rica,2.13
2016-12-08,0851234006159-AL,Colombia,4.26
2016-12-08,851234006364-AL,Colombia,8.6
2016-12-08,0851234006163-AL,Ethiopia,2.13
2016-12-08,0851234006159-AL,Colombia,10.649999999999999
2016-12-08,0851234006163-AL,Ethiopia,8.52
2016-12-08,851234006364-AL,Colombia,10.75
2016-12-08,0851234006187-AL,Costa Rica,10.649999999999999
2016-12-08,0851234006170-AL,Sumatra,8.52
2016-12-08,0851234006187-AL,Costa Rica,313.10999999999996
2016-12-08,0851234006200-AL,DCF Colombia,2.13
2016-12-08,0851234006408-AL,Colombia,7.32
2016-12-09,851234006364-AL,Colombia,4.3
2016-12-12,0851234006500-AL,Colombia,1.77
2016-12-12,0851234006500-AL,Costa Rica,1.77
2016-12-12,0851234006500-AL,Sumatra,1.77
2016-12-12,0851234006500-AL,Ethiopia,1.77
2016-12-12,0851234006500-AL,Colombia,0.59
2016-12-12,0851234006500-AL,Costa Rica,0.59
2016-12-12,0851234006500-AL,Sumatra,0.59
2016-12-12,0851234006500-AL,Ethiopia,0.59
2016-12-13,851234006364-AL,Colombia,4.3
2016-12-13,0851234006500-AL,Colombia,2.36
2016-12-13,0851234006500-AL,Costa Rica,2.36
2016-12-13,0851234006500-AL,Sumatra,2.36
2016-12-13,0851234006500-AL,Ethiopia,2.36
2016-12-14,851234006364-AL,Colombia,2.15
2016-12-14,0851234006187-AL,Costa Rica,2.13
2016-12-14,0851234006200-AL,DCF Colombia,2.13
2016-12-15,0851234006500-AL,Colombia,0.59
2016-12-15,0851234006500-AL,Costa Rica,0.59
2016-12-15,0851234006500-AL,Sumatra,0.59
2016-12-15,0851234006500-AL,Ethiopia,0.59
2016-12-15,0851234006163-AL,Ethiopia,313.10999999999996
2016-12-15,0851234006159-AL,Colombia,313.10999999999996
2016-12-15,851234006364-AL,Colombia,4.3
2016-12-16,851234006364-AL,Colombia,4.3
2016-12-20,0851234006500-AL,Colombia,75.52
2016-12-20,0851234006500-AL,Costa Rica,75.52
2016-12-20,0851234006500-AL,Sumatra,75.52
2016-12-20,0851234006500-AL,Ethiopia,75.52
2016-12-20,0851234006408-AL,Colombia,658.8000000000001
2016-12-20,0851234006187-AL,Costa Rica,313.10999999999996
2016-12-20,0851234006170-AL,Sumatra,313.10999999999996
2016-12-20,851234006364-AL,Colombia,2.15
2016-12-20,851234006364-AL,Colombia,2.15
2016-12-21,0851234006200-AL,DCF Colombia,2.13
2016-12-22,851234006364-AL,Colombia,2.15
2016-12-22,851234006194-AL,Colombia,9.7
2016-12-22,0851234006500-AL,Colombia,0.59
2016-12-22,0851234006500-AL,Costa Rica,0.59
2016-12-22,0851234006500-AL,Sumatra,0.59
2016-12-22,0851234006500-AL,Ethiopia,0.59
2016-12-22,851234006364-AL,Colombia,2.15
2016-12-22,851234006194-AL,Colombia,40.74
2016-12-27,0851234006500-AL,Colombia,0.59
2016-12-27,0851234006500-AL,Costa Rica,0.59
2016-12-27,0851234006500-AL,Sumatra,0.59
2016-12-27,0851234006500-AL,Ethiopia,0.59
2016-12-27,851234006364-AL,Colombia,2.15
2016-12-27,0851234006500-AL,Colombia,1.77
2016-12-27,0851234006500-AL,Costa Rica,1.77
2016-12-27,0851234006500-AL,Sumatra,1.77
2016-12-27,0851234006500-AL,Ethiopia,1.77
2016-12-27,851234006364-AL,Colombia,2.15
